id,original_id,path,type,version,exists,access_type,expected_path,located_paths
74,72,multimedia/imagenes/categorias/f80727c474896741a8038054fb09744fe57aa71e.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/f80727c474896741a8038054fb09744fe57aa71e.jpg,multimedia/imagenes/categorias/f80727c474896741a8038054fb09744fe57aa71e.jpg
75,72,multimedia/imagenes/categorias/06628bf29f4379c812bb4a3772a785d45a5453fd.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/06628bf29f4379c812bb4a3772a785d45a5453fd.jpg,multimedia/imagenes/categorias/06628bf29f4379c812bb4a3772a785d45a5453fd.jpg
76,,system/files/images/categorias/393bf5523829b0a76434527d0737623ed3951b63,image/jpeg,original,True,public,system/files/images/categorias/393bf5523829b0a76434527d0737623ed3951b63,system/files/images/categorias/393bf5523829b0a76434527d0737623ed3951b63
77,76,multimedia/imagenes/categorias/57916324f5c6bdf483e67a51dc944c6604195e81.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/57916324f5c6bdf483e67a51dc944c6604195e81.jpg,multimedia/imagenes/categorias/57916324f5c6bdf483e67a51dc944c6604195e81.jpg
78,76,multimedia/imagenes/categorias/0cfb58d8f2f64de5560d5d5b3143eede8a398f5e.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/0cfb58d8f2f64de5560d5d5b3143eede8a398f5e.jpg,multimedia/imagenes/categorias/0cfb58d8f2f64de5560d5d5b3143eede8a398f5e.jpg
79,76,multimedia/imagenes/categorias/a4dcd01b6e1434b3b7e1cea35d72cf3430b134b4.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/a4dcd01b6e1434b3b7e1cea35d72cf3430b134b4.jpg,multimedia/imagenes/categorias/a4dcd01b6e1434b3b7e1cea35d72cf3430b134b4.jpg
80,,system/files/images/categorias/b365a092cbf80ef1af6e99fc3cddc76b0ceb8112,image/jpeg,original,True,public,system/files/images/categorias/b365a092cbf80ef1af6e99fc3cddc76b0ceb8112,system/files/images/categorias/b365a092cbf80ef1af6e99fc3cddc76b0ceb8112
81,80,multimedia/imagenes/categorias/42336e73dccedae9650caacf0b1fa34d2449b810.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/42336e73dccedae9650caacf0b1fa34d2449b810.jpg,multimedia/imagenes/categorias/42336e73dccedae9650caacf0b1fa34d2449b810.jpg
82,80,multimedia/imagenes/categorias/0f9e3e6b05fba1419f7cfc6a265335db09db367a.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/0f9e3e6b05fba1419f7cfc6a265335db09db367a.jpg,multimedia/imagenes/categorias/0f9e3e6b05fba1419f7cfc6a265335db09db367a.jpg
83,80,multimedia/imagenes/categorias/ef8c44cdf31af7e683bbafb5b1b8fff0e60c4d5c.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/ef8c44cdf31af7e683bbafb5b1b8fff0e60c4d5c.jpg,multimedia/imagenes/categorias/ef8c44cdf31af7e683bbafb5b1b8fff0e60c4d5c.jpg
