product_id,file_id,kind,path,original_id,version,source_line
117,1020,IMAGE,system/files/images/productos/3ba01a39dd2e04651a35a7f2a8c2aab034f58f33,,original,1653
117,1024,IMAGE,system/files/images/productos/634c090c7fb64996e1e59d3f3a671ce738013f93,,original,1653
117,1028,PDF,system/files/images/productos/0a6fa9cbeb5ba8ba1eecd18bd2e8c2f28145f2c9,,original,1653
118,1029,IMAGE,system/files/images/productos/6ca19dacd9993636b6638cf308a1c4490bb0af98,,original,1654
118,1033,IMAGE,system/files/images/productos/df2281661def14838eccfc36ddd1b3068b9ef575,,original,1654
118,1037,PDF,system/files/images/productos/9042045b07cea65fac66d1763d8fcc92b235b906,,original,1654
118,1038,PDF,system/files/images/productos/b2fc16c210f999a553d13a88a76211d8a8cbd583,,original,1654
119,1039,IMAGE,system/files/images/productos/9a05d35b35391d87d959fca60be6e20e4d7799c8,,original,1655
119,1043,PDF,system/files/images/productos/a78bba8b99dcc3da6728b2ab918aebe4d8411e64,,original,1655
119,1044,PDF,system/files/images/productos/39c267d9d6655665608d4e1a6dd7d33a17e93e8d,,original,1655
